,model__C,transformer__max_df,transformer__min_df,transformer__ngram_range,transformer__stop_words,transformer__strip_accents,score,f1_score,auc_score,specificity,sensitivity,misclassification_rate,misclassified_rows,model__gamma,model__kernel,model__alpha,model__fit_prior,transformer__max_features,model__base_estimator,model__bootstrap_features,model__max_features,model__n_estimators
model_LogisticRegression()_TfidfVectorizer()_1,1.0,0.9,1.0,"(1, 2)",,unicode,0.6974073089720296,0.6222000995520159,0.6841289582244845,80.77,56.05,30.19,[5276.  161. 2894. ...   nan 5613. 5831.],,,,,,,,,
model_SVC()_TfidfVectorizer()_2,1.0,0.9,1.0,"(1, 1)",,unicode,0.7038856961938912,0.6506364922206506,0.6964792276353705,77.41,61.88,29.47,[5276.  161. 2894. ...   nan 5613.   nan],scale,rbf,,,,,,,
model_SVC()_TfidfVectorizer()_9,1.0,0.8,1.0,"(1, 1)",,unicode,0.7038856961938912,0.6506364922206506,0.6964792276353705,77.41,61.88,29.47,[5276.  161. 2894. ...   nan 5613.   nan],scale,rbf,,,,,,,
model_MultinomialNB()_CountVectorizer()_3,,0.9,2.0,"(1, 2)",,,0.7050797980106049,0.6569593147751607,0.6820448302278694,67.62,68.79,31.86,[5276.  161. 2894. ...   nan 5613.   nan],,,1.0,True,4000.0,,,,
model_MultinomialNB()_TfidfVectorizer()_4,,0.9,2.0,"(1, 3)",,,0.7103639381832283,0.6660936828534595,0.6913506444385323,68.76,69.51,30.91,[5276.  161. 2894. ...   nan 5613.   nan],,,1.0,False,7000.0,,,,
model_MultinomialNB()_TfidfVectorizer()_5,,0.85,2.0,"(1, 3)",,,0.7103639381832283,0.6660936828534595,0.6913506444385323,68.76,69.51,30.91,[5276.  161. 2894. ...   nan 5613.   nan],,,1.0,False,7000.0,,,,
model_BaggingClassifier(base_estimator=RandomForestClassifier())_TfidfVectorizer()_8,,1.0,5.0,"(1, 3)",,,0.6868378667665866,0.5873910814966683,0.6629549614234382,81.2,51.39,32.02,[5276.  161. 2894. ...   nan 5613. 5831.],,,,,,,,0.9,10.0
model_MultinomialNB()_TfidfVectorizer()_10,,0.85,2.0,"(1, 3)",,,0.7103639381832283,0.6660936828534595,0.6913506444385323,68.76,69.51,30.91,[5276.  161. 2894. ...   nan 5613.   nan],,,1.0,False,7000.0,,,,
model_BaggingClassifier()_TfidfVectorizer()_6,,,,,,,0.6599026070690479,0.5668912415784408,0.6304586556060222,73.27,52.83,35.8,[  nan  161. 2894. ... 2107.   nan 5831.],,,,,,,True,0.9,15.0
model_BaggingClassifier()_TfidfVectorizer()_7,,,,,,,0.6800203615999395,0.5553737043098744,0.6535549094965334,85.06,45.65,32.42,[5276.   nan 2894. ...   nan 5613. 5831.],,,,,,RandomForestClassifier(),False,0.9,5.0
